sample_name,sample_group_name,sequence_segment_name,sample_type,filename
150601_0_BloodProject01_P_QC_Broth-4-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-4-10.0x
150601_0_BloodProject01_P_QC_Broth-5,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-5
150601_0_BloodProject01_P_QC_Broth-5-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-5-10.0x
150601_0_BloodProject01_P_QC_Broth-6,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-6
150601_0_BloodProject01_P_QC_Broth-6-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-6-10.0x
150601_0_BloodProject01_P_QC_Broth-7,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-7
150601_0_BloodProject01_P_QC_Broth-7-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-7-10.0x
150601_0_BloodProject01_P_QC_Broth-8,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-8
150601_0_BloodProject01_P_QC_Broth-8-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_P_QC_Broth-8-10.0x
150601_0_BloodProject01_PLT_QC_Broth-1,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-1
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-1-10.0x
150601_0_BloodProject01_PLT_QC_Broth-10-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-10-10.0x
150601_0_BloodProject01_PLT_QC_Broth-11,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-11
150601_0_BloodProject01_PLT_QC_Broth-12,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-12
150601_0_BloodProject01_PLT_QC_Broth-12-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-12-10.0x
150601_0_BloodProject01_PLT_QC_Broth-13,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-13
150601_0_BloodProject01_PLT_QC_Broth-13-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-13-10.0x
150601_0_BloodProject01_PLT_QC_Broth-14,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-14
150601_0_BloodProject01_PLT_QC_Broth-14-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-14-10.0x
150601_0_BloodProject01_PLT_QC_Broth-15,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-15
150601_0_BloodProject01_PLT_QC_Broth-15-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-15-10.0x
150601_0_BloodProject01_PLT_QC_Broth-16,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-16
150601_0_BloodProject01_PLT_QC_Broth-16-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-16-10.0x
150601_0_BloodProject01_PLT_QC_Broth-17,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-17
150601_0_BloodProject01_PLT_QC_Broth-17-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-17-10.0x
150601_0_BloodProject01_PLT_QC_Broth-19,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-19
150601_0_BloodProject01_PLT_QC_Broth-19-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-19-10.0x
150601_0_BloodProject01_PLT_QC_Broth-2,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-2
150601_0_BloodProject01_PLT_QC_Broth-2-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-2-10.0x
150601_0_BloodProject01_PLT_QC_Broth-21,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-21
150601_0_BloodProject01_PLT_QC_Broth-21-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-21-10.0x
150601_0_BloodProject01_PLT_QC_Broth-22,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-22
150601_0_BloodProject01_PLT_QC_Broth-22-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-22-10.0x
150601_0_BloodProject01_PLT_QC_Broth-24,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-24
150601_0_BloodProject01_PLT_QC_Broth-24-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-24-10.0x
150601_0_BloodProject01_PLT_QC_Broth-3,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-3
150601_0_BloodProject01_PLT_QC_Broth-3-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-3-10.0x
150601_0_BloodProject01_PLT_QC_Broth-4,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-4
150601_0_BloodProject01_PLT_QC_Broth-4-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-4-10.0x
150601_0_BloodProject01_PLT_QC_Broth-5,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-5
150601_0_BloodProject01_PLT_QC_Broth-5-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-5-10.0x
150601_0_BloodProject01_PLT_QC_Broth-6,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-6
150601_0_BloodProject01_PLT_QC_Broth-6-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-6-10.0x
150601_0_BloodProject01_PLT_QC_Broth-7,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-7
150601_0_BloodProject01_PLT_QC_Broth-7-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-7-10.0x
150601_0_BloodProject01_PLT_QC_Broth-8,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-8
150601_0_BloodProject01_PLT_QC_Broth-8-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-8-10.0x
150601_0_BloodProject01_PLT_QC_Broth-9,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-9
150601_0_BloodProject01_PLT_QC_Broth-9-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_PLT_QC_Broth-9-10.0x
150601_0_BloodProject01_RBC_QC_Broth-1,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-1
150601_0_BloodProject01_RBC_QC_Broth-1-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-1-10.0x
150601_0_BloodProject01_RBC_QC_Broth-10,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-10
150601_0_BloodProject01_RBC_QC_Broth-10-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-10-10.0x
150601_0_BloodProject01_RBC_QC_Broth-12,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-12
150601_0_BloodProject01_RBC_QC_Broth-12-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-12-10.0x
150601_0_BloodProject01_RBC_QC_Broth-13,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-13
150601_0_BloodProject01_RBC_QC_Broth-13-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-13-10.0x
150601_0_BloodProject01_RBC_QC_Broth-14,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-14
150601_0_BloodProject01_RBC_QC_Broth-17,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-17
150601_0_BloodProject01_RBC_QC_Broth-17-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-17-10.0x
150601_0_BloodProject01_RBC_QC_Broth-18,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-18
150601_0_BloodProject01_RBC_QC_Broth-18-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-18-10.0x
150601_0_BloodProject01_RBC_QC_Broth-2,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-2
150601_0_BloodProject01_RBC_QC_Broth-2-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-2-10.0x
150601_0_BloodProject01_RBC_QC_Broth-20,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-20
150601_0_BloodProject01_RBC_QC_Broth-20-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-20-10.0x
150601_0_BloodProject01_RBC_QC_Broth-22,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-22
150601_0_BloodProject01_RBC_QC_Broth-22-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-22-10.0x
150601_0_BloodProject01_RBC_QC_Broth-23,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-23
150601_0_BloodProject01_RBC_QC_Broth-24,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-24
150601_0_BloodProject01_RBC_QC_Broth-24-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-24-10.0x
150601_0_BloodProject01_RBC_QC_Broth-3,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-3
150601_0_BloodProject01_RBC_QC_Broth-3-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-3-10.0x
150601_0_BloodProject01_RBC_QC_Broth-4,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-4
150601_0_BloodProject01_RBC_QC_Broth-4-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-4-10.0x
150601_0_BloodProject01_RBC_QC_Broth-5,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-5
150601_0_BloodProject01_RBC_QC_Broth-5-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-5-10.0x
150601_0_BloodProject01_RBC_QC_Broth-6,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-6
150601_0_BloodProject01_RBC_QC_Broth-6-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-6-10.0x
150601_0_BloodProject01_RBC_QC_Broth-7,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-7
150601_0_BloodProject01_RBC_QC_Broth-7-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-7-10.0x
150601_0_BloodProject01_RBC_QC_Broth-8,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-8
150601_0_BloodProject01_RBC_QC_Broth-8-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-8-10.0x
150601_0_BloodProject01_RBC_QC_Broth-9,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-9
150601_0_BloodProject01_RBC_QC_Broth-9-10.0x,group1,sequence1,Unknown,150601_0_BloodProject01_RBC_QC_Broth-9-10.0x
